TAKIM NO,PAKET NUMARASI,GONDERME SAATI,BASINC,YUKSEKLIK,INIS HIZI,SICAKLIK,PIL GERILIMI,GPS LATITUDE,GPS LONGITUDE,GPS ALTITUDE,UYDU STATUSU,PITCH,ROLL,YAW,DONUS SAYISI,VIDEO AKTARIM BILGISI, SON KOMUT
79108,1574,14/9/2021 06/48/21,1007.40,0.14,-0.40,29.96,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-8.87,4.68,308.06,24.17,HAYIR,
79108,1833,14/9/2021 09/15/24,1014.92,-14.83,0.00,29.80,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.12,-18.00,303.75,49.22,HAYIR,
79108,1834,14/9/2021 09/15/25,1014.92,-14.84,-0.10,29.82,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.12,-17.81,304.31,49.22,HAYIR,
79108,1835,14/9/2021 09/15/26,1014.91,-14.70,0.00,29.82,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,172.43,-16.37,304.37,49.22,HAYIR,
79108,1836,14/9/2021 09/15/27,1014.91,-14.71,0.10,29.84,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,172.31,-16.25,304.56,49.22,HAYIR,
79108,1837,14/9/2021 09/15/28,1014.92,-14.80,0.00,29.85,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,172.12,-16.18,304.62,49.22,HAYIR,
79108,1838,14/9/2021 09/15/29,1014.92,-14.85,-0.10,29.86,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,171.81,-16.25,304.50,49.22,HAYIR,
79108,1839,14/9/2021 09/15/30,1014.96,-15.17,0.00,29.87,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,171.50,-16.56,304.56,49.22,HAYIR,
79108,1840,14/9/2021 09/15/31,1014.96,-15.17,-0.30,29.88,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,171.50,-16.31,304.56,49.22,HAYIR,
79108,1841,14/9/2021 09/15/32,1014.94,-14.96,0.00,29.90,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,171.81,-15.87,304.43,49.22,HAYIR,
79108,1842,14/9/2021 09/15/33,1014.91,-14.77,0.20,29.91,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,171.68,-16.18,304.50,49.22,HAYIR,
79108,1843,14/9/2021 09/15/34,1014.91,-14.72,0.20,29.92,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,171.68,-16.06,304.50,49.22,HAYIR,
79108,1844,14/9/2021 09/15/35,1014.91,-14.77,0.00,29.93,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,171.56,-15.93,304.50,49.22,HAYIR,
79108,1845,14/9/2021 09/15/36,1014.94,-14.95,0.00,29.94,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,171.75,-15.75,304.50,49.22,HAYIR,
79108,1846,14/9/2021 09/15/37,1014.94,-14.98,-0.10,29.95,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.25,-14.87,304.62,49.22,HAYIR,
79108,1847,14/9/2021 09/15/38,1014.92,-14.83,0.00,29.96,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,171.87,-14.68,304.37,49.22,HAYIR,
79108,1848,14/9/2021 09/15/39,1014.92,-14.85,0.10,29.97,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.56,-13.93,304.75,49.22,HAYIR,
79108,1849,14/9/2021 09/15/40,1014.92,-14.85,0.00,29.98,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.75,-14.75,304.31,49.22,HAYIR,
79108,1850,14/9/2021 09/15/41,1014.92,-14.78,0.00,29.99,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,172.56,-14.62,304.31,49.22,HAYIR,
79108,1851,14/9/2021 09/15/42,1014.94,-14.96,0.10,30.00,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,172.43,-14.18,304.43,49.22,HAYIR,
79108,1852,14/9/2021 09/15/43,1014.92,-14.85,-0.10,30.01,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.43,-14.18,304.31,49.22,HAYIR,
79108,1853,14/9/2021 09/15/44,1014.91,-14.75,0.10,30.02,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,172.50,-14.31,304.50,49.22,HAYIR,
79108,1854,14/9/2021 09/15/45,1014.91,-14.75,0.20,30.02,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.56,-14.37,304.62,49.22,HAYIR,
79108,1855,14/9/2021 09/15/46,1014.91,-14.71,0.10,30.04,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.00,-14.50,304.50,49.22,HAYIR,
79108,1856,14/9/2021 09/15/47,1014.91,-14.74,0.10,30.05,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.87,-14.25,304.56,49.22,HAYIR,
79108,1857,14/9/2021 09/15/48,1014.90,-14.66,0.10,30.06,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.93,-12.31,304.68,49.22,HAYIR,
79108,1858,14/9/2021 09/15/49,1014.91,-14.72,0.20,30.07,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.75,-14.00,304.62,49.22,HAYIR,
